Subscale,Items,Mean,SD,Skew,Kurt,Item-total correlation,No,Yes
Psychoticism,EYP10,0.05,0.22,3.99,13.96,0.23,94.7 (521),5.3 (29)
Psychoticism,EYP14,0.63,0.48,-0.56,-1.69,0.13,36.5 (201),63.5 (349)
Psychoticism,EYP22,0.13,0.34,2.21,2.87,0.21,87.1 (479),12.9 (71)
Psychoticism,EYP31,0.48,0.5,0.08,-2,0.07,52.0 (286),48.0 (264)
Psychoticism,EYP39,0.23,0.42,1.3,-0.32,0.2,77.3 (425),22.7 (125)
Psychoticism,EYP2,0.3,0.46,0.89,-1.21,-0.01,70.4 (387),29.6 (163)
Psychoticism,EYP6,0.11,0.31,2.5,4.26,0.09,89.1 (490),10.9 (60)
Psychoticism,EYP18,0.05,0.22,4.16,15.36,0.27,95.1 (523),4.9 (27)
Psychoticism,EYP26,0.13,0.34,2.14,2.57,0.17,86.5 (476),13.5 (74)
Psychoticism,EYP28,0.07,0.26,3.33,9.13,0.16,92.9 (511),7.1 (39)
Psychoticism,EYP35,0.09,0.29,2.8,5.85,0.16,90.7 (499),9.3 (51)
Psychoticism,EYP43,0.33,0.47,0.7,-1.51,0.16,66.5 (366),33.5 (184)
Extraversion,EYP3,0.32,0.47,0.77,-1.41,0.28,68.0 (374),32.0 (176)
Extraversion,EYP7,0.93,0.25,-3.5,10.3,0.24,6.5 (36),93.5 (514)
Extraversion,EYP11,0.71,0.45,-0.94,-1.12,0.51,28.7 (158),71.3 (392)
Extraversion,EYP15,0.77,0.42,-1.31,-0.28,0.5,22.5 (124),77.5 (426)
Extraversion,EYP19,0.47,0.5,0.12,-1.99,0.47,52.9 (291),47.1 (259)
Extraversion,EYP23,0.34,0.47,0.67,-1.55,0.44,66.0 (363),34.0 (187)
Extraversion,EYP32,0.8,0.4,-1.5,0.24,0.45,20.0 (110),80.0 (440)
Extraversion,EYP36,0.22,0.42,1.34,-0.22,0.23,77.8 (428),22.2 (122)
Extraversion,EYP44,0.67,0.47,-0.71,-1.5,0.45,33.3 (183),66.7 (367)
Extraversion,EYP48,0.39,0.49,0.44,-1.81,0.37,60.7 (334),39.3 (216)
Extraversion,EYP27,0.59,0.49,-0.35,-1.88,0.44,41.5 (228),58.5 (322)
Extraversion,EYP41,0.44,0.5,0.23,-1.95,0.39,55.6 (306),44.4 (244)
Neuroticism,EYP1,0.47,0.5,0.14,-1.98,0.53,53.5 (294),46.5 (256)
Neuroticism,EYP5,0.57,0.5,-0.28,-1.93,0.57,43.1 (237),56.9 (313)
Neuroticism,EYP9,0.2,0.4,1.5,0.24,0.4,80.0 (440),20.0 (110)
Neuroticism,EYP13,0.73,0.45,-1.01,-0.99,0.52,27.5 (151),72.5 (399)
Neuroticism,EYP17,0.54,0.5,-0.15,-1.98,0.67,46.4 (255),53.6 (295)
Neuroticism,EYP21,0.55,0.5,-0.21,-1.96,0.58,44.7 (246),55.3 (304)
Neuroticism,EYP25,0.38,0.49,0.48,-1.78,0.61,61.6 (339),38.4 (211)
Neuroticism,EYP30,0.18,0.38,1.69,0.87,0.4,82.4 (453),17.6 (97)
Neuroticism,EYP34,0.84,0.37,-1.87,1.49,0.32,15.8 (87),84.2 (463)
Neuroticism,EYP38,0.68,0.47,-0.78,-1.4,0.45,31.8 (175),68.2 (375)
Neuroticism,EYP42,0.54,0.5,-0.17,-1.98,0.55,45.8 (252),54.2 (298)
Neuroticism,EYP46,0.44,0.5,0.24,-1.95,0.54,56.0 (308),44.0 (242)
Lie,EYP4,0.94,0.24,-3.7,11.68,0.09,6.0 (33),94.0 (517)
Lie,EYP16,0.36,0.48,0.59,-1.65,0.23,64.2 (353),35.8 (197)
Lie,EYP45,0.82,0.39,-1.65,0.71,0.22,18.2 (100),81.8 (450)
Lie,EYP8,0.72,0.45,-0.99,-1.03,0.48,27.8 (153),72.2 (397)
Lie,EYP12,0.71,0.45,-0.95,-1.1,0.53,28.5 (157),71.5 (393)
Lie,EYP20,0.52,0.5,-0.07,-2,0.49,48.4 (266),51.6 (284)
Lie,EYP24,0.39,0.49,0.43,-1.82,0.4,60.5 (333),39.5 (217)
Lie,EYP29,0.43,0.5,0.29,-1.92,0.49,57.1 (314),42.9 (236)
Lie,EYP33,0.61,0.49,-0.44,-1.81,0.38,39.3 (216),60.7 (334)
Lie,EYP37,0.66,0.47,-0.67,-1.55,0.4,34.0 (187),66.0 (363)
Lie,EYP40,0.82,0.38,-1.69,0.87,0.37,17.6 (97),82.4 (453)
Lie,EYP47,0.21,0.4,1.45,0.11,0.32,79.5 (437),20.5 (113)
