Scale,Item,Lord status,Lord conv.,Lord nrPur,Lord χ²,Lord p,Lord p (adj),Lord DIF,Raju status,Raju conv.,Raju nrPur,Raju Z,Raju p,Raju p (adj),Raju DIF,a (Ref),b (Ref),a (Focal),b (Focal),Δb,ETS Class
Psychoticism,EYP10,completed,converged,3,28.60,< .001,< .001,DIF,completed,converged,1,-1.92,1.945,.105,,1.25,3.21,0.06,-57.62,-60.83,C (Large)
Psychoticism,EYP14,completed,converged,3,35.06,< .001,< .001,DIF,completed,converged,1,-1.87,1.939,.105,,0.61,-0.96,0.01,-174.48,-173.53,C (Large)
Psychoticism,EYP22,completed,converged,3,10.02,.007,.009,DIF,completed,converged,1,-1.60,1.890,.147,,1.66,1.69,0.02,-27.50,-29.19,C (Large)
Psychoticism,EYP31,completed,converged,3,87.87,< .001,< .001,DIF,completed,converged,1,-1.60,1.890,.147,,0.18,1.33,0.01,-137.61,-138.94,C (Large)
Psychoticism,EYP39,completed,converged,3,16.93,< .001,< .001,DIF,completed,converged,1,-1.99,1.954,.105,,1.10,1.63,0.02,-65.13,-66.75,C (Large)
Psychoticism,EYP2,completed,converged,3,3.06,.216,.236,,completed,converged,1,-0.78,1.565,.484,,-0.38,-2.83,0.01,-2.83,0.00,A (Negligible)
Psychoticism,EYP6,completed,converged,3,0.40,.819,.819,,completed,converged,1,-0.77,1.557,.484,,-0.12,-20.61,0.02,-20.61,-0.00,A (Negligible)
Psychoticism,EYP18,completed,converged,3,29.87,< .001,< .001,DIF,completed,converged,1,-2.24,1.975,.105,,1.70,2.98,0.05,-58.42,-61.40,C (Large)
Psychoticism,EYP26,completed,converged,3,11.63,.003,.004,DIF,completed,converged,1,-1.94,1.947,.105,,1.37,1.78,0.02,-37.81,-39.58,C (Large)
Psychoticism,EYP28,completed,converged,3,43.87,< .001,< .001,DIF,completed,converged,1,0.14,.887,.887,,0.07,42.35,0.03,-46.27,-88.61,C (Large)
Psychoticism,EYP35,completed,converged,3,9.05,.011,.013,DIF,completed,converged,1,-1.95,1.949,.105,,0.75,3.94,0.03,-44.89,-48.83,C (Large)
Psychoticism,EYP43,completed,converged,3,52.09,< .001,< .001,DIF,completed,converged,1,-2.92,1.997,.042,DIF,0.77,0.87,0.02,-83.82,-84.69,C (Large)
Extraversion,EYP3,completed,converged,1,1.29,.524,.899,,completed,converged,2,-0.72,1.528,.713,,0.88,0.89,0.82,1.25,0.35,A (Negligible)
Extraversion,EYP7,completed,converged,1,2.54,.281,.861,,completed,converged,2,-0.71,1.525,.713,,1.90,-2.15,1.18,-2.38,-0.23,A (Negligible)
Extraversion,EYP11,completed,converged,1,2.50,.287,.861,,completed,converged,2,1.70,.090,.360,,1.86,-0.71,2.92,-0.55,0.16,A (Negligible)
Extraversion,EYP15,completed,converged,1,1.96,.375,.899,,completed,converged,2,1.18,.239,.653,,2.40,-0.94,2.58,-0.72,0.21,A (Negligible)
Extraversion,EYP19,completed,converged,1,4.21,.122,.732,,completed,converged,2,2.04,.041,.248,,1.34,0.24,2.09,0.04,-0.20,A (Negligible)
Extraversion,EYP23,completed,converged,1,1.42,.493,.899,,completed,converged,2,-0.98,1.674,.653,,1.73,0.65,1.41,0.57,-0.08,A (Negligible)
Extraversion,EYP32,completed,converged,1,0.30,.860,.929,,completed,converged,2,-0.29,1.231,.769,,1.96,-1.08,1.94,-1.00,0.08,A (Negligible)
Extraversion,EYP36,completed,converged,1,0.15,.929,.929,,completed,converged,2,0.40,.686,.748,,0.72,1.93,0.84,1.72,-0.22,A (Negligible)
Extraversion,EYP44,completed,converged,1,0.61,.737,.929,,completed,converged,2,-0.62,1.463,.717,,1.72,-0.58,1.44,-0.58,-0.01,A (Negligible)
Extraversion,EYP48,completed,converged,1,18.70,< .001,.001,DIF,completed,converged,2,4.33,< .001,< .001,DIF,1.13,0.92,1.43,0.01,-0.91,C (Large)
Extraversion,EYP27,completed,converged,1,0.32,.851,.929,,completed,converged,2,0.43,.665,.748,,1.46,-0.32,1.48,-0.23,0.09,A (Negligible)
Extraversion,EYP41,completed,converged,1,0.81,.666,.929,,completed,converged,2,1.00,.315,.653,,1.18,0.34,1.24,0.18,-0.17,A (Negligible)
Neuroticism,EYP1,completed,converged,1,4.69,.096,.288,,completed,converged,2,-1.88,1.940,.181,,1.78,-0.15,1.11,0.08,0.23,A (Negligible)
Neuroticism,EYP5,completed,converged,1,0.47,.791,.791,,completed,converged,2,0.90,.370,.403,,1.64,-0.52,1.91,-0.53,-0.01,A (Negligible)
Neuroticism,EYP9,completed,converged,1,5.30,.071,.288,,completed,converged,2,-1.38,1.833,.287,,1.58,1.23,1.36,0.87,-0.37,A (Negligible)
Neuroticism,EYP13,completed,converged,1,11.04,.004,.048,DIF,completed,converged,2,-3.28,1.999,.013,DIF,2.02,-1.32,1.24,-0.98,0.34,A (Negligible)
Neuroticism,EYP17,completed,converged,1,2.52,.284,.406,,completed,converged,2,1.93,.054,.181,,2.52,-0.46,2.58,-0.21,0.24,A (Negligible)
Neuroticism,EYP21,completed,converged,1,1.05,.590,.644,,completed,converged,2,-1.03,1.698,.362,,1.85,-0.47,1.52,-0.39,0.08,A (Negligible)
Neuroticism,EYP25,completed,converged,1,1.13,.567,.644,,completed,converged,2,-0.76,1.554,.446,,2.55,0.20,2.08,0.12,-0.08,A (Negligible)
Neuroticism,EYP30,completed,converged,1,2.74,.254,.406,,completed,converged,2,-1.14,1.748,.338,,1.92,1.14,1.21,1.35,0.22,A (Negligible)
Neuroticism,EYP34,completed,converged,1,3.71,.156,.375,,completed,converged,2,-1.14,1.747,.338,,1.14,-2.34,0.71,-2.59,-0.24,A (Negligible)
Neuroticism,EYP38,completed,converged,1,5.25,.072,.288,,completed,converged,2,-1.97,1.951,.181,,1.18,-1.35,1.02,-0.91,0.45,B (Moderate)
Neuroticism,EYP42,completed,converged,1,3.25,.197,.395,,completed,converged,2,-1.45,1.854,.287,,1.71,-0.29,1.49,-0.60,-0.31,A (Negligible)
Neuroticism,EYP46,completed,converged,1,2.38,.304,.406,,completed,converged,2,1.56,.119,.284,,1.41,0.06,1.84,-0.16,-0.21,A (Negligible)
