Model,Chi-Square,df,CFI,TLI,RMSEA,RMSEA 90% Lower CI,RMSEA 90% Upper,Chi-Square Difference,df difference*,p,CFI_diff,TLI_diff,RMSEA_diff,CFI_invariance,RMSEA_invariance,converged
M1,2068.0839602640044,1884,0.96493025943742,0.9580056609823883,0.018883923995712766,0.012281159663566401,0.024053602381557942,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
M2,2215.196763278963,2060,0.9704335444731866,0.9676204254036451,0.01658182922928562,0.00904038710301663,0.021978731314732918,194.25271536203496,176,0.1644366913849274,0.005503285035766692,0.00961476442125686,-0.002302094766427145,TRUE,TRUE,TRUE
M3,2215.196763278963,2060,0.9704335444731866,0.9676204254036451,0.01658182922928562,0.00904038710301663,0.021978731314732918,0,0,NA,0,0,0,TRUE,TRUE,TRUE
M4,2193.553531579385,2070,0.9764618802644978,0.9743468608100033,0.01475934646535991,0.0052749649628913466,0.020559845919439462,9.940584394915284,10,0.4457214280957237,0.0060283357913111235,0.0067264354063582,-0.0018224827639257112,TRUE,TRUE,TRUE
M5,2239.771256865809,2056,0.964989832400931,0.9615841740741732,0.018061422678795652,0.01141700909377251,0.023172143915634345,16.458531112574597,14,0.2861812725272322,-0.011472047863566814,-0.012762686735830142,0.0033020762134357423,FALSE,TRUE,TRUE
M6,2193.553531579385,2070,0.9764618802644978,0.9743468608100033,0.01475934646535991,0.0052749649628913466,0.020559845919439462,16.458531112574597,14,0.2861812725272322,0.011472047863566814,0.012762686735830142,-0.0033020762134357423,TRUE,TRUE,TRUE
M7,2282.384171368775,2104,0.966016123287429,0.9635610143234029,0.017590573891184486,0.010794303522500766,0.022734994516916934,-26.208181605701036,34,1,-0.010445756977068732,-0.010785846486600414,0.0028312274258245756,FALSE,TRUE,TRUE
M8,2228.3467357366235,2066,0.9690714068987877,0.9662270541934488,0.016934849460115763,0.00965722956179926,0.022251794487654603,15.089665464475223,38,0.9996744708940641,0.00305528361135865,0.0026660398700458776,-6.557244310687223e-4,TRUE,TRUE,TRUE
M9,2259.441789334089,2114,0.9722919595406961,0.9704307761228999,0.01584589710683328,0.007835350210249321,0.02133801426510787,47.9968415057998,48,0.4729778830372763,0.0032205526419084585,0.004203721929451065,-0.0010889523532824838,TRUE,TRUE,TRUE
M10,2359.8499733926446,2060,0.9428757358354551,0.9374406116722266,0.023048523830606734,0.018055956703185775,0.02740694002588953,24.125223952559928,54,0.999855322907607,-0.029416223705240996,-0.032990164450673265,0.0072026267237734545,FALSE,TRUE,TRUE
M11,2410.9191745650087,2108,0.9422910238991473,0.9382393500552545,0.022900913042450913,0.01793898158185089,0.027229681742013942,64.55697771192601,48,0.055520371070455994,-5.847119363078246e-4,7.987383830279082e-4,-1.4761078815582127e-4,TRUE,TRUE,TRUE
M12,2357.523610062321,2070,0.9452240249718611,0.9403021257664341,0.02251522556350564,0.017415554363468342,0.02692960146429761,3.983621103577142,38,0.9999999999993961,0.00293300107271377,0.002062775711179632,-3.8568747894527147e-4,TRUE,TRUE,TRUE
M13,2381.394026668896,2118,0.9498209394899807,0.9465514822896112,0.021304174050652148,0.01596487787906966,0.025830149096334274,50.31326922679653,48,0.38199409724381694,0.00459691451811961,0.006249356523177041,-0.0012110515128534935,TRUE,TRUE,TRUE
