Model,converged,Chi_Square,df,CFI,TLI,RMSEA,RMSEA_90_L,RMSEA_90_U,SRMR
M1,TRUE,4998.726340332736,1552,0.9440533883035536,0.9317970429576825,0.03201312625578949,0.03102268388077123,0.0330081696778809,0.050568577426331626
M2,TRUE,4736.543861902604,1712,0.9509061746444308,0.9457444406701303,0.02855279371368825,0.027587192030449303,0.029521790506214365,0.05980372815201226
M3,TRUE,4736.543861902604,1712,0.9509061746444308,0.9457444406701303,0.02855279371368825,0.027587192030449303,0.029521790506214365,0.05980372815201226
M4,TRUE,5045.053576809238,1722,0.9460608212689475,0.9407358152385881,0.02984163694820465,0.028888057129502712,0.030798952260692312,0.06455068208870515
M5,TRUE,5714.205464737772,1708,0.9349720287076145,0.9279666734864208,0.032899797183604446,0.03196025907968425,0.03384363192336729,0.05889892725448871
M6,TRUE,5045.053576809238,1722,0.9460608212689475,0.9407358152385881,0.02984163694820465,0.028888057129502712,0.030798952260692312,0.06455068208870515
M7,TRUE,5806.214625852488,1752,0.9341927530618149,0.9289341831010011,0.032678104816068705,0.031749287560448584,0.03361108490927332,0.06064554947647684
M8,TRUE,5839.044194264414,1718,0.9331079881154276,0.9263331277732183,0.033270750733785166,0.03233579674967057,0.034210017224644076,0.06317915180486977
M9,TRUE,6008.014850396057,1762,0.9310794880020787,0.925994546708248,0.03334712110161084,0.03242425652878105,0.03427419820698307,0.06514832364574122
M10,TRUE,6579.728295260894,1712,0.9209879526575712,0.9126806112313812,0.03622278421011619,0.03529904826758466,0.03715105432409694,0.05912282423814767
M11,TRUE,7026.424076579009,1756,0.9144514707078534,0.9078258442934275,0.03721611793391925,0.036307624193932075,0.03812906422949715,0.06003927477320169
M12,TRUE,6609.395097891379,1722,0.9206687248276146,0.9128369496944524,0.03619034266673109,0.03526916158995964,0.03711603038117412,0.0630704874699844
M13,TRUE,6972.494455969525,1766,0.9154891642486161,0.9094595123207144,0.03688483965631446,0.035977741445053155,0.03779635603906391,0.06455060317479638
