Model,χ²,df,CFI,TLI,RMSEA,RMSEA 90% CI,Δχ²,Δdf,p,ΔCFI,ΔTLI,ΔRMSEA,CFI_inv,RMSEA_inv,Converged
M1 (Configural),4998.73,1552,0.944,0.932,0.032,"[0.031, 0.033]",,,,,,,,,Yes
M2 (Metric),4736.54,1712,0.951,0.946,0.029,"[0.028, 0.030]",624.40,160,p < .001,0.007,0.014,-0.003,Yes,Yes,Yes
M3 (Metric + Residuals),4736.54,1712,0.951,0.946,0.029,"[0.028, 0.030]",0.00,0,,0.000,0.000,0.000,Yes,Yes,Yes
M4 (Metric + Factor Var/Cov),5045.05,1722,0.946,0.941,0.030,"[0.029, 0.031]",150.19,10,p < .001,-0.005,-0.005,0.001,Yes,Yes,Yes
M5 (Scalar),5714.21,1708,0.935,0.928,0.033,"[0.032, 0.034]",85.86,14,p < .001,-0.011,-0.013,0.003,No,Yes,Yes
M6 (Metric + Residuals + Factor Var/Cov),5045.05,1722,0.946,0.941,0.030,"[0.029, 0.031]",85.86,14,p < .001,0.011,0.013,-0.003,Yes,Yes,Yes
M7 (Scalar + Residuals),5806.21,1752,0.934,0.929,0.033,"[0.032, 0.034]",90.79,30,p < .001,-0.012,-0.012,0.003,No,Yes,Yes
M8 (Scalar + Factor Var/Cov),5839.04,1718,0.933,0.926,0.033,"[0.032, 0.034]",-323.77,34,1.000,-0.001,-0.003,0.001,Yes,Yes,Yes
M9 (Scalar + Residuals + Factor Var/Cov),6008.01,1762,0.931,0.926,0.033,"[0.032, 0.034]",348.76,44,p < .001,-0.002,-0.000,0.000,Yes,Yes,Yes
M10 (Scalar + Means),6579.73,1712,0.921,0.913,0.036,"[0.035, 0.037]",243.26,50,p < .001,-0.010,-0.013,0.003,No,Yes,Yes
M11 (Scalar + Residuals + Means),7026.42,1756,0.914,0.908,0.037,"[0.036, 0.038]",605.14,44,p < .001,-0.007,-0.005,0.001,Yes,Yes,Yes
M12 (Scalar + Factor Var/Cov + Means),6609.40,1722,0.921,0.913,0.036,"[0.035, 0.037]",-57.44,34,1.000,0.006,0.005,-0.001,Yes,Yes,Yes
M13 (Scalar + Residuals + Factor Var/Cov + Means),6972.49,1766,0.915,0.909,0.037,"[0.036, 0.038]",516.65,44,p < .001,-0.005,-0.003,0.001,Yes,Yes,Yes
